GSE,Bulk/SC,Tum/CL,Comments,preprocess,GSEA,GeneExpr
CCLE,Bulk,CL,,Y,Y,Y
TCGA,Bulk,Tum,,Y,Y,Y
GSE208697,Bulk,CL,stemcellline,Y,Y,Y
GSE189517,Bulk,Mouse XG,"PDGFB overexpression 
+ Surrounding cells",Y,Y,Y
GSE195681,Bulk,CL,,Y,Y,Y
GSE145556,Bulk,CL,SOX10KO,Y,Y,Y
GSE214248,Bulk,Tum,CXCL8 disruption,Y,Y,Y
GSE153794,Bulk,GSC cultures (glioblastoma specimens),FPKM,Y,Y,Y
GSE235911,Bulk,CL,Siglec-9KO,Y,Y,Y
GSE231577-B,Bulk,Mouse XG,,Y,Y,Y
GSE176539,Bulk,patient derived cancer stem cell,"anti-E2F, anti-STAT3",Y,Y,Y
GSE207886,Bulk,Tum – Mouse XG,,Y,Y,Y
GSE227674,Bulk,CL,Erlotinib treatment,Y,Y,Y
GSE206917,Bulk,CL+Tum,"radioresistant, FPKM",Y,Y,Y
GSE232158,Bulk,(Tum+CL) – Mouse XG ,,Y,Y,Y
GSE213307,Bulk,CL – Mouse XG,PP2Ac KO,Y,Y,Y
GSE203177,Bulk,CL,SPRK1 – OE & KO,Y,Y,Y
GSE226721,Bulk,Tum,GSK3368715,Y,Y,Y
GSE102136,Bulk,Tum,Tet1 Loss,Y,Y,Y
GSE224082,Bulk,CL,LSD1 KD,Y,Y,Y
GSE226990,Bulk,Tum,RCN3 KD,Y,Y,Y
GSE184941,Bulk,Tum,"LGG II, HGG III & IV",Y,Y,Y
GSE119834,Bulk,CL+Tum,FPKM,Y,Y,Y
GSE179649,Bulk,Tum,Treatment – radiation/TMZ,Y,Y,Y
GSE154041,Bulk,Tum,"regorafenib and lomustine, CPM",Y,Y,Y
GSE222515,Bulk,Tum,,Y,Y,Y
GSE149009,Bulk,Tum,,Y,Y,Y
GSE121720,"RRNA-depleted
 Total ssRNA",Tum,SOX10KO,Y,Y,Y
GSE100351,Bulk,Tum,RPKM,Y,Y,Y
GSE107559,Bulk,Tum,FPKM,Y,Y,Y
GSE139533,Bulk,Tum,,Y,Y,Y
GSE141945,Bulk,Tum+Organoids,,Y,Y,Y
QCell,Bulk,CL,FPKM,Y,Y,Y
CGGA,Bulk,Tum,,Y,Y,Y
GSE232434,Bulk,Tum,SNP rs755622,Y,Y,Y
GSE154367,Bulk,Mouse XG,glioblastoma initiating cells and patient-matched EPSC,Y,Y,Y
GSE154958,Bulk,CL+Tum,glioblastoma initiating cells and patient-matched EPSC,Y,Y,Y
GSE147352,RRNA-depleted total RNAseq,Tum,has normal and lgg,Y,Y,Y
GSE145645,Bulk,Tum,has normal,Y,Y,Y
GSE190504,Bulk,Tum,"IDH1 mutation, CPM",Y,Y,Y
GSE59612,Bulk,Tum,Segregated by Contrast,Y,Y,Y
GSE156819,Bulk,Mouse XG,DMSO/JQ1 treated,Y,Y,Y
GSE158550,Bulk,CL,"BRD8 KO, FPKM",Y,Y,Y
GSE89623,Bulk,CL,"CPM, Ion channel only?",Y,Y,Y
GSE186332,Bulk,Tum,selinexor exposure,Y,Y,Y
GSE117632,Bulk,Tum,Hypoxia,Y,Y,Y
GSE99175,Bulk,CL,dBET6/JQ1,Y,Y,Y
GSE99181,Bulk,CL,dBET6/JQ1,Y,Y,Y
GSE112734,Bulk,CL,NFKB/TMZ,Y,Y,Y
GSE112735,Bulk,CL,"NFKB/TMZ,EGFRvIII expressing",Y,Y,Y
GSE181144,Bulk,Tum,MEOX2 loss,Y,Y,Y
GSE97632,Bulk,CL,KLF4 wt & mut,Y,Y,Y
GLASS,Bulk,Tum,,Y,Y,Y
GSE98126,Bulk,Tum,,Y,Y,Y
GSE178337,Bulk,CL,CCL21 treatment,Y,Y,Y
GSE218041,Bulk,CL,CCR7 inhibitors,Y,Y,Y
GSE218042,Bulk,CL,CCR7 knockdown,Y,Y,Y
GSE111247,Bulk,CL,"γ-irradiation, temozolomide and oncolytic measles virus",Y,Y,Y
GSE163071,Bulk,Tum,LGG,Y,Y,Y
GSE74557,Bulk,CL,GSCs,Y,Y,Y
GSE179882,Bulk,CL,HDAC1KO  + normal,Y,Y,Y
GSE183910,Bulk,CL,EGFR variants,Y,Y,Y
GSE186440,Bulk,CL,DAXX or ATRX KO,Y,Y,Y
GSE114222,Bulk,Tum,,Y,Y,Y
GSE33912,Bulk,CL,Wats in Sheet1,Y,Y,Y
GSE200062,Bulk,CL,"SOX2 Epigenetic Silencer, Whats the normalization",Y,Y,Y
GSE168037,Bulk,Mouse XG,,Y,Y,Y
GSE198438,Bulk,Mouse XG,mir-NRF2,Y,Y,Y
GSE198439,Bulk,Mouse XG,p16,Y,Y,Y
GSE86237,Bulk,PDX,BMI1 and EZH2 Inhibition,Y,Y,Y
GSE137048,Bulk,CL,Dunno wat the other sample is,Y,Y,Y
GSE135408,Bulk,Tum,Edge & Core,Y,Y,Y
GSE138662,Bulk,CL,serum-starved ,Y,Y,Y
GSE215401,Bulk,CL,"CAMP, MS275 and Combination treated",Y,Y,Y
GSE158700-B,Bulk,PDX,endothelial cells,Y,Y,Y
GSE155434,Bulk,Tum,"Glioblastoma initiating cells, not processing exons",Y,Y,Y
GSE79671,Bulk,Tum,bevacizumab combination therapy,Y,Y,Y
GSE165386,Bulk,CL,,Y,Y,Y
GSE77530,Bulk,Tum,FPKM,Y,Y,Y
GSE122832,Bulk,CL,,Y,Y,Y
